Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,15pf,C_0603_1608Metric,154.100000,-57.800000,0.000000,top
C2,15pf,C_0603_1608Metric,158.200000,-57.800000,180.000000,top
C3,1u,C_0603_1608Metric,145.800000,-63.600000,0.000000,top
C4,1u,C_0603_1608Metric,159.700000,-55.000000,0.000000,top
C5,1u,C_0603_1608Metric,145.800000,-57.600000,0.000000,top
C6,15pf,C_0603_1608Metric,164.600000,-69.700000,90.000000,top
C7,1u,C_0603_1608Metric,167.600000,-50.800000,0.000000,top
C8,10u,C_0603_1608Metric,148.600000,-67.300000,0.000000,top
C9,1u,C_0603_1608Metric,166.700000,-65.800000,0.000000,top
C10,12p,C_0603_1608Metric,174.600000,-60.400000,180.000000,top
C11,12p,C_0603_1608Metric,174.500000,-54.000000,180.000000,top
D1,IR,PinHeader_1x02_P2.54mm_Vertical,149.440000,-37.800000,-90.000000,top
D2,MHP5050RGBDT,MHP5050RGBDT,146.900000,-32.000000,180.000000,top
D3,MHP5050RGBDT,MHP5050RGBDT,158.000000,-32.000000,180.000000,top
D4,MHP5050RGBDT,MHP5050RGBDT,169.200000,-32.000000,180.000000,top
D5,RED,LED_0805_2012Metric,174.800000,-29.700000,180.000000,top
D6,RED,LED_0805_2012Metric,174.800000,-34.300000,0.000000,top
J1,PROG,PinHeader_1x05_P2.54mm_Vertical,150.100000,-54.475000,180.000000,top
J2,USB_B_Micro,USB_Micro-B_Amphenol_10118194_Horizontal,158.700000,-72.600000,0.000000,top
J3,WCHRG,PinHeader_1x02_P2.54mm_Vertical,145.000000,-69.000000,180.000000,top
J4,Battery,PinHeader_1x02_P2.54mm_Vertical,174.000000,-69.000000,0.000000,top
JP1,Jumper_2_Open,PinHeader_1x02_P2.54mm_Vertical,143.425000,-49.600000,90.000000,top
Q1,ALS-PT19,ALS-PT19,143.000000,-54.750000,-90.000000,top
Q2,YJL3400A,SOT-23,154.400000,-61.300000,270.000000,top
Q3,YJL3400A,SOT-23,154.000000,-38.000000,270.000000,top
Q4,YJL3400A,SOT-23,158.000000,-38.000000,270.000000,top
Q5,YJL3400A,SOT-23,162.000000,-38.000000,270.000000,top
Q6,YJL3400A,SOT-23,146.200000,-41.900000,270.000000,top
Q7,AO3401A,SOT-23,169.937500,-72.200000,180.000000,top
Q8,YJL3400A,SOT-23,169.900000,-68.600000,180.000000,top
Q9,YJL3400A,SOT-23,170.200000,-42.300000,90.000000,top
R1,10k,R_0603_1608Metric,154.600000,-64.200000,0.000000,top
R2,100,R_0603_1608Metric,153.000000,-42.000000,90.000000,top
R3,100,R_0603_1608Metric,157.000000,-42.000000,90.000000,top
R4,100,R_0603_1608Metric,161.000000,-42.000000,90.000000,top
R5,10k,R_0603_1608Metric,150.000000,-59.500000,180.000000,top
R6,10k,R_0603_1608Metric,155.000000,-42.000000,-90.000000,top
R7,10k,R_0603_1608Metric,159.000000,-42.000000,-90.000000,top
R8,10k,R_0603_1608Metric,163.000000,-42.000000,-90.000000,top
R9,100,R_0603_1608Metric,146.200000,-46.900000,180.000000,top
R10,10k,R_0603_1608Metric,146.200000,-45.200000,0.000000,top
R11,10,R_0603_1608Metric,143.900000,-37.800000,-90.000000,top
R12,10,R_0603_1608Metric,141.400000,-32.000000,0.000000,top
R13,10,R_0603_1608Metric,141.400000,-30.200000,0.000000,top
R14,10,R_0603_1608Metric,141.400000,-33.800000,0.000000,top
R15,10k,R_0603_1608Metric,167.000000,-72.000000,-90.000000,top
R16,10k,R_0603_1608Metric,174.600000,-65.800000,0.000000,top
R17,10k,R_0603_1608Metric,174.600000,-64.000000,180.000000,top
R18,100,R_0603_1608Metric,153.000000,-47.825000,90.000000,top
R19,100,R_0603_1608Metric,170.200000,-45.400000,180.000000,top
R20,10k,R_0603_1608Metric,170.300000,-65.900000,0.000000,top
R21,10,R_0603_1608Metric,152.500000,-32.000000,0.000000,top
R22,10,R_0603_1608Metric,152.500000,-30.300000,0.000000,top
R23,10,R_0603_1608Metric,152.500000,-33.700000,0.000000,top
R24,DNP,R_0603_1608Metric,167.600000,-52.800000,180.000000,top
R25,10k,R_0603_1608Metric,164.000000,-54.900000,0.000000,top
R26,10k,R_0603_1608Metric,167.200000,-54.900000,180.000000,top
R27,10,R_0603_1608Metric,163.600000,-32.000000,0.000000,top
R28,10,R_0603_1608Metric,163.600000,-30.300000,0.000000,top
R29,10,R_0603_1608Metric,163.600000,-33.800000,0.000000,top
R30,10k,R_0603_1608Metric,150.000000,-57.700000,0.000000,top
R31,10k,R_0603_1608Metric,164.600000,-72.900000,-90.000000,top
R32,10k,R_0603_1608Metric,170.300000,-39.300000,180.000000,top
R33,10,R_0603_1608Metric,169.400000,-36.700000,-90.000000,top
R34,10k,R_0603_1608Metric,158.200000,-59.500000,0.000000,top
R35,10k,R_0603_1608Metric,150.000000,-61.300000,180.000000,top
R37,100,R_0603_1608Metric,171.200000,-63.000000,0.000000,top
R38,100,R_0603_1608Metric,171.200000,-61.300000,0.000000,top
R39,10k,R_0603_1608Metric,152.800000,-68.000000,-90.000000,top
R40,0,R_0603_1608Metric,148.600000,-69.300000,180.000000,top
R41,10k,R_0603_1608Metric,158.200000,-63.000000,90.000000,top
TP1,T1,TestPoint_Keystone_5000-5004_Miniature,146.100000,-54.500000,0.000000,top
U1,STM32G030F6Px,TSSOP-20_4.4x6.5mm_P0.65mm,158.000000,-49.862500,0.000000,top
U2,XC6206P332MR,SOT-23,145.800000,-60.600000,90.000000,top
U3,CH340T,SSOP-20_5.3x7.2mm_P0.65mm,164.700000,-60.300000,90.000000,top
U4,FM4057S42,SOT-23-6,150.000000,-64.300000,180.000000,top
U5,KX022-1020,LGA-12_2x2mm_P0.5mm,163.950000,-51.037500,0.000000,top
Y1,Crystal,Crystal_SMD_3215-2Pin_3.2x1.5mm,156.100000,-55.700000,0.000000,top
Y2,X322512MSB4SI,Oscillator_SMD_SeikoEpson_SG8002CE-4Pin_3.2x2.5mm,172.400000,-57.500000,-135.000000,top
